,Author Name,Review Date,Reviewer Ratings,Review Body,Developer Reply,Review Likes
219,Hao Chen,2019年1月28日,3, *要求加入關閉推銷優惠通知的功能。 餐廳或騎士誤點超過預計到達的時段，希望能主動提早通知情況，而不是讓客人膽顫心驚地等，深怕餐廳忘記或訂單取消，或是客人必須主動找客服反應才有解答。,"有無科技2018年1月1日Dear Hao Chen,
真是謝謝您寶貴的建議與意見，我們會持續增加店家的種類和數量。 (ง๑ •̀_•́)ง
外送半徑因為餐點美味問題，所以沒有設很大的範圍，會再檢討設定上是否有需要再修改
的地方。 (๑• . •๑)
也希望您下次遇上同樣的騎士追蹤未運作問題，快快到LINE@來跟小編說，小編就可以
馬上請工程師查詢問題出在哪裡囉！ (*´∀`)~♥",20
220,Jackie .C,2019年2月21日,1, 能訂購的餐廳越來越少，客訴的案件也不處理，服務越來越差，我都打了三通電話了，說會處理，年都過了依舊沒得到回覆,有無科技2019年2月21日不好意思～若要客訴可至LINE@反應小編，小編一定會為您轉達相關單位處理,4
221,江怡儒,2019年2月27日,5, 愉快的使用體驗，快遞員很有禮貌，合作的餐廳很好吃，運費合理，而且支援現金交易 終於不用再吃麥當勞了（喜極而泣）,,4
222,Google 使用者,2019年1月19日,5, 很棒的程式 對於我忙工作 沒辦法出門 孩子們終於不用只是吃麥當勞了。。辛苦了 謝謝,,4
223,謝承恩,2019年2月28日,5, 速度快服務很棒就是餐廳少了些，另外如果能多餐廳組合訂購就更棒了,有無科技2019年3月3日好der~相關單位會持續開發新店家唷^_^,2
224,Ciao yun Lai,2019年1月16日,5, 在家叫外送好輕鬆～快輸入我的優惠碼35316270就可獲得《有無快送》首購折抵NT$100優惠券，兌換後30天內都可以使用，快來訂餐享好康！(限北北桃地區),,8
225,Anzar,2019年2月24日,1, 訂了快三小時才送到，客服電話不接，網路客服回應花了超過半小時，平台的疏失非常嚴重，不推薦,有無科技2019年3月3日對不起～編會改善回覆速度der😖所有不足皆會轉給內部改善處理,9
226,夏卡爾,2019年1月19日,1, 之前用過有無幾次，感覺都還不錯。但1/17早上大約九點多點好餐，我們整個公司都在期待午餐，結果有無卻在11點半之後打來說該店最後一天營業，沒有販售餐點，要取消訂單，然後就結束了對話，請問這樣的服務模式，要大家如何繼續消費呢？或許有無也覺得不差我一個客人吧！只是上來抱怨一下,有無科技2019年1月19日對不起(T_T)我們會改善服務品質,1
227,yan w,2019年3月1日,5, 比其他程式好用很多我很喜歡，外送人員跟客服都很有耐心態度超棒的，不過合作選項可以再多，謝謝你們♥,有無科技2019年3月3日相關單位會持續開發新店家der~還請您之後繼續支持有無快送 謝謝🖤,0
228,mika ka,2019年1月27日,5, 輸入折扣碼 67758077 可以幫你省100元喔。 介面使用簡單，可是衛星定位沒有很準，還好還可以自己手動輸入。,,0
229,Erica Lin,2019年1月18日,3, 叫外送好輕鬆 快輸入此組優惠碼”94697055“可享首購優惠$100唷( ¨̮ )期限30天內可使用,,8
230,Amanda Hsu,2019年2月24日,1, 餐點會逾時，平台與配送人員都未通知，真的很爛，客服的回覆也前後不一致，之後不會再用有無訂餐了。 因為今天訂餐的問題，弄的一肚子氣 要用有無訂餐的人，真的要好好考慮一下，請三思,有無科技2019年3月3日小編會轉達內部請客服確實通知～還請您不要捨棄有無快送🥺🥺🥺,0
231,洪郁莉,2019年2月24日,5, 首購輸入優惠碼04707275，購買餐點滿200元，當筆即可扣抵100元，很划算喔！,,0
232,avoncy lin,2019年2月3日,4," 比預期的快很多 ,手機顯示2點11到，結果一點半就到了",,1
233,無神由希,2019年1月31日,1, 可以送到圓通路嗎？我等好久都沒有擴張到這裡欸，一直很想用用看！,有無科技2019年2月1日您好～若您輸入地址後無法查看店家就是不在服務範圍唷！希望之後有機會擴區為您服務🙂,0
234,彭勝輝,2019年1月20日,5, 在家叫外送好輕鬆～快輸入我的優惠碼29628134就可獲得《有無快送》首購折抵NT$100優惠券，兌換後30天內都可以使用，快來訂餐享好康！(限北北桃地區),,0
235,戀蝶薔薇,2019年1月30日,5, 首購輸入51342961優惠碼，滿200折100喔,,1
236,Sasa Chen,2019年2月22日,5, 在家叫外送好輕鬆～快輸入我的優惠碼57527976就可獲得《有無快送》首購折抵NT$100優惠券，兌換後30天內都可以使用，快來訂餐享好康！(限北北桃地區),,0
237,YU CHEN HUANG,2019年1月20日,5, 在家叫外送好輕鬆～快輸入我的優惠碼40665207就可獲得《有無快送》首購折抵NT$100優惠券，兌換後30天內都可以使用，快來訂餐享好康！(限北北桃地區),,0
238,何先斌,2019年1月26日,5, 在家叫外送好輕鬆～快輸入我的優惠碼37619821就可獲得《有無快送》首購折抵NT$100優惠券，兌換後30天內都可以使用，快來訂餐享好康！(限北北桃地區),,0
239,郁璇,2019年1月27日,4, 態度不錯 準時，可付現，對不喜歡用信用卡的是福音,,1
